Matthews,0.056,23.538,23.538
Arnold,0.056,23.594,23.594
Wagner,0.055,23.649,23.649
Willis,0.055,23.704,23.704
Ray,0.055,23.759,23.759
Watkins,0.055,23.814,23.814
Olson,0.055,23.869,23.869
Carroll,0.055,23.924,23.924
Duncan,0.055,23.979,23.979
Snyder,0.055,24.034,24.034
Hart,0.054,24.088,24.088
Cunningham,0.054,24.142,24.142
Bradley,0.054,24.196,24.196
Lane,0.054,24.25,24.250
Andrews,0.054,24.304,24.304
Ruiz,0.054,24.358,24.358
Harper,0.054,24.412,24.412
Fox,0.053,24.465,24.465
Riley,0.053,24.518,24.518
Armstrong,0.053,24.571,24.571
Carpenter,0.053,24.624,24.624
Weaver,0.053,24.677,24.677
Greene,0.053,24.73,24.730
Lawrence,0.052,24.782,24.782
Elliott,0.052,24.834,24.834
Chavez,0.052,24.886,24.886
Sims,0.052,24.938,24.938
Austin,0.052,24.99,24.990
Peters,0.052,25.042,25.042
Kelley,0.052,25.094,25.094
Franklin,0.051,25.145,25.145
Lawson,0.051,25.196,25.196
Fields,0.051,25.247,25.247
Gutierrez,0.051,25.298,25.298
Ryan,0.051,25.349,25.349
Schmidt,0.051,25.4,25.400
Carr,0.051,25.451,25.451
Vasquez,0.051,25.502,25.502
Castillo,0.051,25.553,25.553
Wheeler,0.051,25.604,25.604
Chapman,0.05,25.654,25.654
Oliver,0.05,25.704,25.704
Montgomery,0.049,25.753,25.753
Richards,0.049,25.802,25.802
Williamson,0.049,25.851,25.851
Johnston,0.049,25.9,25.900
Banks,0.048,25.948,25.948
Meyer,0.048,25.996,25.996
Bishop,0.048,26.044,26.044
Mccoy,0.048,26.092,26.092
Howell,0.048,26.14,26.140
Alvarez,0.048,26.188,26.188
Morrison,0.048,26.236,26.236
Hansen,0.047,26.283,26.283
Fernandez,0.047,26.33,26.330
Garza,0.047,26.377,26.377
Harvey,0.047,26.424,26.424
Little,0.046,26.47,26.470
Burton,0.046,26.516,26.516
Stanley,0.046,26.562,26.562
Nguyen,0.046,26.608,26.608
George,0.046,26.654,26.654
Jacobs,0.046,26.7,26.700
Reid,0.046,26.746,26.746
Kim,0.045,26.791,26.791
Fuller,0.045,26.836,26.836
Lynch,0.045,26.881,26.881
Dean,0.045,26.926,26.926
Gilbert,0.045,26.971,26.971
Garrett,0.045,27.016,27.016
Romero,0.045,27.061,27.061
Welch,0.044,27.105,27.105
Larson,0.044,27.149,27.149
Frazier,0.044,27.193,27.193
Burke,0.044,27.237,27.237
Hanson,0.043,27.28,27.280
Day,0.043,27.323,27.323
Mendoza,0.043,27.366,27.366
Moreno,0.043,27.409,27.409
Bowman,0.043,27.452,27.452
Medina,0.042,27.494,27.494
Fowler,0.042,27.536,27.536
Brewer,0.042,27.578,27.578
Hoffman,0.042,27.62,27.620
Carlson,0.042,27.662,27.662
Silva,0.042,27.704,27.704
Pearson,0.042,27.746,27.746
Holland,0.042,27.788,27.788
Douglas,0.041,27.829,27.829
Fleming,0.041,27.87,27.870
Jensen,0.041,27.911,27.911
Vargas,0.041,27.952,27.952
Byrd,0.041,27.993,27.993
Davidson,0.041,28.034,28.034
Hopkins,0.041,28.075,28.075
May,0.04,28.115,28.115
Terry,0.04,28.155,28.155
Herrera,0.04,28.195,28.195
Wade,0.04,28.235,28.235
Soto,0.04,28.275,28.275
Walters,0.04,28.315,28.315
Curtis,0.04,28.355,28.355
Neal,0.039,28.394,28.394
Caldwell,0.039,28.433,28.433
Lowe,0.039,28.472,28.472
