Leonard,30.331
Walsh,30.364
Lyons,30.397
Ramsey,30.430
Wolfe,30.463
Schneider,30.496
Mullins,30.529
Benson,30.562
Sharp,30.595
Bowen,30.628
Daniel,30.661
Barber,30.693
Cummings,30.725
Hines,30.757
Baldwin,30.789
Griffith,30.821
Valdez,30.853
Hubbard,30.885
Salazar,30.917
Reeves,30.949
Warner,30.980
Stevenson,31.011
Burgess,31.042
Santos,31.073
Tate,31.104
Cross,31.135
Garner,31.166
Mann,31.197
Mack,31.228
Moss,31.259
Thornton,31.290
Dennis,31.321
Mcgee,31.352
Farmer,31.382
Delgado,31.412
Aguilar,31.442
Vega,31.472
Glover,31.502
Manning,31.532
Cohen,31.562
Harmon,31.592
Rodgers,31.622
Robbins,31.652
Newton,31.682
Todd,31.712
Blair,31.742
Higgins,31.772
Ingram,31.802
Reese,31.832
Cannon,31.862
Strickland,31.892
Townsend,31.922
Potter,31.952
Goodwin,31.982
Walton,32.012
Rowe,32.041
Hampton,32.070
Ortega,32.099
Patton,32.128
Swanson,32.157
Joseph,32.186
Francis,32.215
Goodman,32.244
Maldonado,32.273
Yates,32.302
Becker,32.331
Erickson,32.360
Hodges,32.389
Rios,32.418
Conner,32.447
Adkins,32.476
Webster,32.504
Norman,32.532
Malone,32.560
Hammond,32.588
Flowers,32.616
Cobb,32.644
Moody,32.672
Quinn,32.700
Blake,32.728
Maxwell,32.756
Pope,32.784
Floyd,32.811
Osborne,32.838
Paul,32.865
Mccarthy,32.892
Guerrero,32.919
Lindsey,32.946
Estrada,32.973
Sandoval,33.000
Gibbs,33.027
Tyler,33.054
Gross,33.081
Fitzgerald,33.108
Stokes,33.135
Doyle,33.162
Sherman,33.189
Saunders,33.216
Wise,33.243
Colon,33.270
Gill,33.297
Alvarado,33.324
Greer,33.350
Padilla,33.376
Simon,33.402
Waters,33.428
Nunez,33.454
Ballard,33.480
Schwartz,33.506
Mcbride,33.532
Houston,33.558
Christensen,33.584
Klein,33.610
Pratt,33.636
Briggs,33.662
Parsons,33.688
Mclaughlin,33.714
Zimmerman,33.740
French,33.766
Buchanan,33.792
Moran,33.818
Copeland,33.843
Roy,33.868
Pittman,33.893
Brady,33.918
Mccormick,33.943
Holloway,33.968
Brock,33.993
Poole,34.018
Frank,34.043
Logan,34.068
Owen,34.093
Bass,34.118
Marsh,34.143
Drake,34.168
Wong,34.193
Jefferson,34.218
Park,34.243
Morton,34.268
Abbott,34.293
Sparks,34.318
Patrick,34.342
Norton,34.366
Huff,34.390
Clayton,34.414
Massey,34.438
Lloyd,34.462
Figueroa,34.486
Carson,34.510
Bowers,34.534
Roberson,34.558
Barton,34.582
Tran,34.606
Lamb,34.630
Harrington,34.654
Casey,34.678
Boone,34.702
Cortez,34.726
Clarke,34.750
Mathis,34.774
Singleton,34.798
Wilkins,34.822
Cain,34.846
Bryan,34.870
Underwood,34.894
Hogan,34.918
Mckenzie,34.941
Collier,34.964
Luna,34.987
Phelps,35.010
Mcguire,35.033
Allison,35.056
Bridges,35.079
Wilkerson,35.102
Nash,35.125
Summers,35.148
Atkins,35.171
Wilcox,35.194
Pitts,35.217
Conley,35.240
Marquez,35.263
Burnett,35.286
Richard,35.309
Cochran,35.332
Chase,35.355
Davenport,35.378
Hood,35.401
Gates,35.424
Clay,35.447
Ayala,35.470
Sawyer,35.493
Roman,35.516
Vazquez,35.539
Dickerson,35.562
Hodge,35.584
Acosta,35.606
Flynn,35.628
Espinoza,35.650
Nicholson,35.672
Monroe,35.694
Wolf,35.716
Morrow,35.738
Kirk,35.760
Randall,35.782
Anthony,35.804
Whitaker,35.826
Oconnor,35.848
Skinner,35.870
Ware,35.892
Molina,35.914
Kirby,35.936
Huffman,35.958
Bradford,35.980
Charles,36.002
Gilmore,36.024
Dominguez,36.046
Oneal,36.068
Bruce,36.090
Lang,36.111
Combs,36.132
Kramer,36.153
Heath,36.174
Hancock,36.195
Gallagher,36.216
Gaines,36.237
Shaffer,36.258
Short,36.279
Wiggins,36.300
Mathews,36.321
Mcclain,36.342
Fischer,36.363
Wall,36.384
Small,36.405
Melton,36.426
Hensley,36.447
Bond,36.468
Dyer,36.489
Cameron,36.510
Grimes,36.531
Contreras,36.552
Christian,36.573
Wyatt,36.594
Baxter,36.615
Snow,36.636
Mosley,36.657
Shepherd,36.678
Larsen,36.699
Hoover,36.720
Beasley,36.740
Glenn,36.760
Petersen,36.780
Whitehead,36.800
Meyers,36.820
Keith,36.840
Garrison,36.860
Vincent,36.880
Shields,36.900
Horn,36.920
Savage,36.940
Olsen,36.960
Schroeder,36.980
Hartman,37.000
Woodard,37.020
Mueller,37.040
Kemp,37.060
Deleon,37.080
Booth,37.100
Patel,37.120
Calhoun,37.140
Wiley,37.160
Eaton,37.180
Cline,37.200
Navarro,37.220
Harrell,37.240
Lester,37.260
Humphrey,37.280
Parrish,37.300
Duran,37.320
Hutchinson,37.340
Hess,37.360
Dorsey,37.380
Bullock,37.400
Robles,37.420
Beard,37.439
Dalton,37.458
Avila,37.477
Vance,37.496
Rich,37.515
Blackwell,37.534
York,37.553
Johns,37.572
Blankenship,37.591
Trevino,37.610
Salinas,37.629
Campos,37.648
Pruitt,37.667
Moses,37.686
Callahan,37.705
Golden,37.724
Montoya,37.743
Hardin,37.762
Guerra,37.781
Mcdowell,37.800
Carey,37.819
Stafford,37.838
Gallegos,37.857
Henson,37.876
Wilkinson,37.895
Booker,37.914
Merritt,37.933
Miranda,37.952
Atkinson,37.971
Orr,37.990
Decker,38.009
Hobbs,38.028
Preston,38.047
Tanner,38.066
Knox,38.085
Pacheco,38.104
Stephenson,38.122
Glass,38.140
Rojas,38.158
Serrano,38.176
Marks,38.194
Hickman,38.212
English,38.230
Sweeney,38.248
Strong,38.266
Prince,38.284
Mcclure,38.302
Conway,38.320
Walter,38.338
Roth,38.356
Maynard,38.374
Farrell,38.392
Lowery,38.410
Hurst,38.428
Nixon,38.446
Weiss,38.464
Trujillo,38.482
Ellison,38.500
Sloan,38.518
Juarez,38.536
Winters,38.554
Mclean,38.572
Randolph,38.590
Leon,38.608
Boyer,38.626
Villarreal,38.644
Mccall,38.662
Gentry,38.680
Carrillo,38.697
Kent,38.714
Ayers,38.731
Lara,38.748
Shannon,38.765
Sexton,38.782
Pace,38.799
Hull,38.816
Leblanc,38.833
Browning,38.850
Velasquez,38.867
Leach,38.884
Chang,38.901
House,38.918
Sellers,38.935
Herring,38.952
Noble,38.969
Foley,38.986
Bartlett,39.003
Mercado,39.020
Landry,39.037
Durham,39.054
Walls,39.071
Barr,39.088
Mckee,39.105
Bauer,39.122
Rivers,39.139
Everett,39.156
Bradshaw,39.173
Pugh,39.190
Velez,39.207
Rush,39.224
Estes,39.241
Dodson,39.258
Morse,39.275
Sheppard,39.292
Weeks,39.309
Camacho,39.326
Bean,39.343
Barron,39.360
Livingston,39.377
Middleton,39.393
Spears,39.409
Branch,39.425
Blevins,39.441
Chen,39.457
Kerr,39.473
Mcconnell,39.489
Hatfield,39.505
Harding,39.521
Ashley,39.537
Solis,39.553
Herman,39.569
Frost,39.585
Giles,39.601
Blackburn,39.617
William,39.633
Pennington,39.649
Woodward,39.665
Finley,39.681
Mcintosh,39.697
Koch,39.713
Best,39.729
Solomon,39.745
Mccullough,39.761
Dudley,39.777
Nolan,39.793
Blanchard,39.809
Rivas,39.825
Brennan,39.841
Mejia,39.857
Kane,39.873
Benton,39.889
Joyce,39.905
Buckley,39.921
Haley,39.937
Valentine,39.953
Maddox,39.969
Russo,39.985
Mcknight,40.001
Buck,40.017
Moon,40.033
Mcmillan,40.049
Crosby,40.065
Berg,40.081
Dotson,40.097
Mays,40.113
Roach,40.129
Church,40.145
Chan,40.161
Richmond,40.177
Meadows,40.193
Faulkner,40.209
Oneill,40.225
Knapp,40.241
Kline,40.256
Barry,40.271
Ochoa,40.286
Jacobson,40.301
Gay,40.316
Avery,40.331
Hendricks,40.346
Horne,40.361
Shepard,40.376
Hebert,40.391
Cherry,40.406
Cardenas,40.421
Mcintyre,40.436
Whitney,40.451
Waller,40.466
Holman,40.481
Donaldson,40.496
Cantu,40.511
Terrell,40.526
Morin,40.541
Gillespie,40.556
Fuentes,40.571
Tillman,40.586
Sanford,40.601
Bentley,40.616
Peck,40.631
Key,40.646
Salas,40.661
Rollins,40.676
Gamble,40.691
Dickson,40.706
Battle,40.721
Santana,40.736
Cabrera,40.751
Cervantes,40.766
Howe,40.781
Hinton,40.796
Hurley,40.811
Spence,40.826
Zamora,40.841
Yang,40.856
Mcneil,40.871
Suarez,40.886
Case,40.901
Petty,40.916
Gould,40.931
Mcfarland,40.946
Sampson,40.961
Carver,40.976
Bray,40.991
Rosario,41.006
Macdonald,41.021
Stout,41.036
Hester,41.051
Melendez,41.066
Dillon,41.081
Farley,41.096
Hopper,41.111
Galloway,41.126
Potts,41.141
Bernard,41.156
Joyner,41.170
Stein,41.184
Aguirre,41.198
Osborn,41.212
Mercer,41.226
Bender,41.240
Franco,41.254
Rowland,41.268
Sykes,41.282
Benjamin,41.296
Travis,41.310
Pickett,41.324
Crane,41.338
Sears,41.352
Mayo,41.366
Dunlap,41.380
Hayden,41.394
Wilder,41.408
Mckay,41.422
Coffey,41.436
Mccarty,41.450
Ewing,41.464
Cooley,41.478
Vaughan,41.492
Bonner,41.506
Cotton,41.520
Holder,41.534
Stark,41.548
Ferrell,41.562
Cantrell,41.576
Fulton,41.590
Lynn,41.604
Lott,41.618
Calderon,41.632
Rosa,41.646
Pollard,41.660
Hooper,41.674
Burch,41.688
Mullen,41.702
Fry,41.716
Riddle,41.730
Levy,41.744
David,41.758
Duke,41.772
Odonnell,41.786
Guy,41.800
Michael,41.814
Britt,41.828
Frederick,41.842
Daugherty,41.856
Berger,41.870
Dillard,41.884
Alston,41.898
Jarvis,41.912
Frye,41.926
Riggs,41.940
Chaney,41.954
Odom,41.967
Duffy,41.980
Fitzpatrick,41.993
Valenzuela,42.006
Merrill,42.019
Mayer,42.032
Alford,42.045
Mcpherson,42.058
Acevedo,42.071
Donovan,42.084
Barrera,42.097
Albert,42.110
Cote,42.123
Reilly,42.136
Compton,42.149
Raymond,42.162
Mooney,42.175
Mcgowan,42.188
Craft,42.201
Cleveland,42.214
Clemons,42.227
Wynn,42.240
Nielsen,42.253
Baird,42.266
Stanton,42.279
Snider,42.292
Rosales,42.305
Bright,42.318
Witt,42.331
Stuart,42.344
Hays,42.357
Holden,42.370
Rutledge,42.383
Kinney,42.396
Clements,42.409
Castaneda,42.422
Slater,42.435
Hahn,42.448
Emerson,42.461
Conrad,42.474
Burks,42.487
